,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000004,BKR,Baker Hughes Co,2016-09-30,10-K,2018-02-23,981.0,0.0,457.0,13082000000.0,14688.0,21721.0
1970-01-01 00:00:00.000000006,BKR,Baker Hughes Co,2016-12-31,10-K,2019-02-19,981.0,0.0,457.0,13082000000.0,14688.0,21721.0
1970-01-01 00:00:00.000000011,BKR,Baker Hughes Co,2017-09-30,10-K,2018-02-23,,-104.0,-284.0,17179000000.0,14277.0,56500.0
1970-01-01 00:00:00.000000015,BKR,Baker Hughes Co,2017-12-31,10-K,2020-02-13,7023.0,-103.0,-284.0,17179000000.0,14277.0,56500.0
1970-01-01 00:00:00.000000020,BKR,Baker Hughes Co,2018-09-30,10-K,2019-02-19,,13.0,701.0,5665000000.0,17465.0,52439.0
1970-01-01 00:00:00.000000024,BKR,Baker Hughes Co,2018-12-31,10-K,2021-02-25,,195.0,701.0,22877000000.0,17465.0,52439.0
1970-01-01 00:00:00.000000027,BKR,Baker Hughes Co,2019-09-30,10-K,2020-02-13,,57.0,1074.0,5882000000.0,21929.0,53369.0
1970-01-01 00:00:00.000000030,BKR,Baker Hughes Co,2019-12-31,10-K,2022-02-11,,128.0,1074.0,23838000000.0,21929.0,53369.0
1970-01-01 00:00:00.000000033,BKR,Baker Hughes Co,2020-12-31,10-K,2023-02-14,,-9940.0,-15978.0,20705000000.0,12893.0,38007.0
1970-01-01 00:00:00.000000036,BKR,Baker Hughes Co,2021-12-31,10-K,2024-02-05,,-219.0,1310.0,20502000000.0,14830.0,35308.0
1970-01-01 00:00:00.000000039,BKR,Baker Hughes Co,2022-12-31,10-K,2025-02-04,,-601.0,1185.0,21156000000.0,14394.0,34181.0
1970-01-01 00:00:00.000000042,BKR,Baker Hughes Co,2023-12-31,10-K,2026-02-05,,1943.0,2317.0,25506000000.0,15368.0,36945.0
1970-01-01 00:00:00.000000044,BKR,Baker Hughes Co,2024-12-31,10-K,2026-02-05,,2979.0,3081.0,27829000000.0,16895.0,38363.0
