,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,EQIX,"EQUINIX, INC.",2009-12-31,10-K,2013-02-26,346.056,,69.431,181.079,882509000.0,,39315250.0,1182.483,3038.15,1855.667
1970-01-01 00:00:00.000000009,EQIX,"EQUINIX, INC.",2010-12-31,10-K,2014-02-28,442.841,,36.881,193.604,1196214000.0,,46166689.0,1863.682,4448.009,2567.494
1970-01-01 00:00:00.000000019,EQIX,"EQUINIX, INC.",2011-12-31,10-K,2015-03-02,278.823,,94.776,305.922,1565625000.0,,46671199.0,1936.151,5785.324,3765.511
1970-01-01 00:00:00.000000029,EQIX,"EQUINIX, INC.",2012-12-31,10-K,2016-02-26,252.213,,140.028,392.896,1887376000.0,,48776108.0,2313.441,6135.797,3738.178
1970-01-01 00:00:00.000000039,EQIX,"EQUINIX, INC.",2013-12-31,10-K,2017-02-27,261.894,,94.685,460.932,2152766000.0,,49589008.0,2459.064,7492.359,4909.393
1970-01-01 00:00:00.000000049,EQIX,"EQUINIX, INC.",2014-12-31,10-K,2018-02-26,610.917,,-259.547,509.266,2443776000.0,,56451255.0,2270.131,7781.978,5511.847
1970-01-01 00:00:00.000000059,EQIX,"EQUINIX, INC.",2015-12-31,10-K,2019-02-22,2228.838,,187.774,567.342,2725867000.0,,62100159.0,2745.386,10356.695,7611.309
1970-01-01 00:00:00.000000064,EQIX,"EQUINIX, INC.",2016-09-30,10-K,2017-02-27,748.476,,51.45,618.739,3611989000.0,,71409015.0,4365.829,12608.371,8242.542
1970-01-01 00:00:00.000000068,EQIX,"EQUINIX, INC.",2016-12-31,10-K,2019-02-22,748.476,5309826000.0,126.8,618.739,3611989000.0,,71409015.0,4365.829,12608.371,8242.542
1970-01-01 00:00:00.000000073,EQIX,"EQUINIX, INC.",2017-09-30,10-K,2018-02-26,1412.517,,79.9,809.014,4368428000.0,,79038062.0,6849.79,18691.457,11841.667
1970-01-01 00:00:00.000000077,EQIX,"EQUINIX, INC.",2017-12-31,10-K,2020-02-21,1412.517,8470275000.0,232.982,809.014,4368428000.0,,79038062.0,6849.79,18691.457,11841.667
1970-01-01 00:00:00.000000082,EQIX,"EQUINIX, INC.",2018-09-30,10-K,2019-02-22,606.166,,124.825,977.383,1283751000.0,,80722258.0,7219.279,20244.638,13025.359
1970-01-01 00:00:00.000000086,EQIX,"EQUINIX, INC.",2018-12-31,10-K,2021-02-19,606.166,9890531000.0,365.359,977.383,5071654000.0,,80722258.0,7219.279,20244.638,13025.359
1970-01-01 00:00:00.000000091,EQIX,"EQUINIX, INC.",2019-09-30,10-K,2020-02-21,1869.577,,120.85,1169.631,1396810000.0,5562140000.0,85308386.0,8840.606,23965.615,15125.233
1970-01-01 00:00:00.000000095,EQIX,"EQUINIX, INC.",2019-12-31,10-K,2022-02-18,1869.577,10401097000.0,507.45,1169.631,1417135000.0,5562140000.0,85308386.0,8840.606,23965.615,15125.233
1970-01-01 00:00:00.000000098,EQIX,"EQUINIX, INC.",2020-09-30,10-K,2021-02-19,1604.869,,66.687,1052.928,1519767000.0,5998545000.0,89134252.0,10633.988,27006.841,16372.723
1970-01-01 00:00:00.000000101,EQIX,"EQUINIX, INC.",2020-12-31,10-K,2023-02-17,1604.869,10633881000.0,369.777,1052.928,1564115000.0,5998545000.0,89134252.0,10633.988,27006.841,16372.723
1970-01-01 00:00:00.000000104,EQIX,"EQUINIX, INC.",2021-12-31,10-K,2024-02-16,1536.358,11722148000.0,500.191,1108.162,,6635537000.0,90571406.0,10882.082,27918.698,17036.934
1970-01-01 00:00:00.000000107,EQIX,"EQUINIX, INC.",2022-12-31,10-K,2025-02-12,1906.0,12880507000.0,705.0,1200.0,,7263000000.0,92620703.0,11505.966,30310.742,18804.91
1970-01-01 00:00:00.000000110,EQIX,"EQUINIX, INC.",2023-12-31,10-K,2026-02-11,2096.0,13840646000.0,969.0,1443.0,,8188000000.0,94479000.0,12489.0,32651.0,20137.0
1970-01-01 00:00:00.000000112,EQIX,"EQUINIX, INC.",2024-12-31,10-K,2026-02-11,3081.0,15334000000.0,815.0,1328.0,,8748000000.0,97287000.0,13528.0,35085.0,21533.0
1970-01-01 00:00:00.000000113,EQIX,"EQUINIX, INC.",2025-12-31,10-K,2026-02-11,1727.0,,1350.0,1848.0,,9217000000.0,98226000.0,14156.0,40141.0,25963.0
