,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue_alt,stockholders_equity,total_assets
45,BKR,Baker Hughes Co,2025-12-31,10-K,2026-02-05,,2588000000.0,,27733000000.0,18834000000.0,40881000000.0
43,BKR,Baker Hughes Co,2024-12-31,10-K,2025-02-04,,2979000000.0,3081000000.0,27829000000.0,16895000000.0,38363000000.0
44,BKR,Baker Hughes Co,2024-12-31,10-K,2026-02-05,,2979000000.0,,27829000000.0,16895000000.0,38363000000.0
40,BKR,Baker Hughes Co,2023-12-31,10-K,2024-02-05,,1943000000.0,2317000000.0,25506000000.0,15368000000.0,36945000000.0
41,BKR,Baker Hughes Co,2023-12-31,10-K,2025-02-04,,1943000000.0,2317000000.0,25506000000.0,15368000000.0,36945000000.0
42,BKR,Baker Hughes Co,2023-12-31,10-K,2026-02-05,,1943000000.0,,25506000000.0,,
37,BKR,Baker Hughes Co,2022-12-31,10-K,2023-02-14,,-601000000.0,1185000000.0,21156000000.0,14394000000.0,34181000000.0
38,BKR,Baker Hughes Co,2022-12-31,10-K,2024-02-05,,-601000000.0,1185000000.0,21156000000.0,14394000000.0,34181000000.0
39,BKR,Baker Hughes Co,2022-12-31,10-K,2025-02-04,,-601000000.0,1185000000.0,21156000000.0,,
34,BKR,Baker Hughes Co,2021-12-31,10-K,2022-02-11,,-219000000.0,1310000000.0,20502000000.0,14830000000.0,35308000000.0
35,BKR,Baker Hughes Co,2021-12-31,10-K,2023-02-14,,-219000000.0,1310000000.0,20502000000.0,14830000000.0,35308000000.0
36,BKR,Baker Hughes Co,2021-12-31,10-K,2024-02-05,,-219000000.0,1310000000.0,20502000000.0,,
31,BKR,Baker Hughes Co,2020-12-31,10-K,2021-02-25,,-9940000000.0,-15978000000.0,20705000000.0,12893000000.0,38007000000.0
32,BKR,Baker Hughes Co,2020-12-31,10-K,2022-02-11,,-9940000000.0,-15978000000.0,20705000000.0,12893000000.0,38007000000.0
33,BKR,Baker Hughes Co,2020-12-31,10-K,2023-02-14,,-9940000000.0,-15978000000.0,20705000000.0,,
28,BKR,Baker Hughes Co,2019-12-31,10-K,2020-02-13,,48000000.0,1074000000.0,6347000000.0,21929000000.0,53369000000.0
29,BKR,Baker Hughes Co,2019-12-31,10-K,2021-02-25,,128000000.0,1074000000.0,23838000000.0,21929000000.0,53369000000.0
30,BKR,Baker Hughes Co,2019-12-31,10-K,2022-02-11,,128000000.0,1074000000.0,23838000000.0,,
27,BKR,Baker Hughes Co,2019-09-30,10-K,2020-02-13,,57000000.0,,5882000000.0,,
26,BKR,Baker Hughes Co,2019-06-30,10-K,2020-02-13,,-9000000.0,,5994000000.0,,
25,BKR,Baker Hughes Co,2019-03-31,10-K,2020-02-13,,32000000.0,,5615000000.0,,
22,BKR,Baker Hughes Co,2018-12-31,10-K,2019-02-19,,131000000.0,701000000.0,6264000000.0,17465000000.0,52439000000.0
23,BKR,Baker Hughes Co,2018-12-31,10-K,2020-02-13,,131000000.0,701000000.0,6264000000.0,17465000000.0,52439000000.0
24,BKR,Baker Hughes Co,2018-12-31,10-K,2021-02-25,,195000000.0,701000000.0,22877000000.0,,
20,BKR,Baker Hughes Co,2018-09-30,10-K,2019-02-19,,13000000.0,,5665000000.0,,
21,BKR,Baker Hughes Co,2018-09-30,10-K,2020-02-13,,13000000.0,,5665000000.0,,
18,BKR,Baker Hughes Co,2018-06-30,10-K,2019-02-19,,-19000000.0,,5548000000.0,,
19,BKR,Baker Hughes Co,2018-06-30,10-K,2020-02-13,,-19000000.0,,5548000000.0,,
16,BKR,Baker Hughes Co,2018-03-31,10-K,2019-02-19,,70000000.0,,5399000000.0,,
17,BKR,Baker Hughes Co,2018-03-31,10-K,2020-02-13,,70000000.0,,5399000000.0,,
13,BKR,Baker Hughes Co,2017-12-31,10-K,2018-02-23,7023000000.0,30000000.0,-107000000.0,,14709000000.0,57050000000.0
14,BKR,Baker Hughes Co,2017-12-31,10-K,2019-02-19,,31000000.0,-284000000.0,5799000000.0,14277000000.0,56500000000.0
15,BKR,Baker Hughes Co,2017-12-31,10-K,2020-02-13,,-103000000.0,-284000000.0,17179000000.0,,
11,BKR,Baker Hughes Co,2017-09-30,10-K,2018-02-23,,-104000000.0,,,,
12,BKR,Baker Hughes Co,2017-09-30,10-K,2019-02-19,,-134000000.0,,5301000000.0,,
9,BKR,Baker Hughes Co,2017-06-30,10-K,2018-02-23,,0.0,,,,
10,BKR,Baker Hughes Co,2017-06-30,10-K,2019-02-19,,0.0,,3015000000.0,,
7,BKR,Baker Hughes Co,2017-03-31,10-K,2018-02-23,,0.0,,,,
8,BKR,Baker Hughes Co,2017-03-31,10-K,2019-02-19,,0.0,,3064000000.0,,
5,BKR,Baker Hughes Co,2016-12-31,10-K,2018-02-23,981000000.0,0.0,659000000.0,,14688000000.0,21721000000.0
6,BKR,Baker Hughes Co,2016-12-31,10-K,2019-02-19,,0.0,457000000.0,13082000000.0,,
4,BKR,Baker Hughes Co,2016-09-30,10-K,2018-02-23,,0.0,,,,
3,BKR,Baker Hughes Co,2016-06-30,10-K,2018-02-23,,0.0,,,,
2,BKR,Baker Hughes Co,2016-03-31,10-K,2018-02-23,,0.0,,,,
1,BKR,Baker Hughes Co,2015-12-31,10-K,2018-02-23,1432000000.0,0.0,-138000000.0,,,
0,BKR,Baker Hughes Co,2014-12-31,10-K,2018-02-23,1390000000.0,,,,,
